Country	Continent	Visa-Free Days	Policies	Policy End Date	Last Check
Albania	Europe	30 days (720 hrs)	Mutual-90-Limit	Endless	2025-5-24
Antigua and Barbuda	North America	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Armenia	Asia	30 days (720 hrs)	Mutual-90-Limit	Endless	2025-5-24
Bahamas	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Barbados	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Belarus	Europe	30 days (720 hrs)	Mutual-30-Limit-360, Regional-30, Transit-10	Endless	2025-5-24
Bosnia and Herzegovina	Europe	30 days (720 hrs)	Mutual-30-Limit-180, Regional-30, Transit-10	Endless	2025-5-24
Dominica	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Ecuador	South America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Fiji	Oceania	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Georgia	Asia	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Grenada	North America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Kazakhstan	Asia	30 days (720 hrs)	Mutual-30-Limit-180, Regional-30	Endless	2025-5-24
Maldives	Asia	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Mauritius	Africa	30 days (720 hrs)	Mutual-60	Endless	2025-5-24
Qatar	Asia	30 days (720 hrs)	Mutual-30, Regional-30, Transit-10	Endless	2025-5-24
Samoa	Oceania	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
San Marino	Europe	30 days (720 hrs)	Mutual-90	Endless	2025-5-24
Serbia	Europe	30 days (720 hrs)	Mutual-30-Valid, Regional-30, Transit-10	Endless	2025-5-24
Seychelles	Africa	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Singapore	Asia	30 days (720 hrs)	Mutual-30, Regional-30, Transit-10	Endless	2025-5-24
Solomon Islands	Oceania	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Suriname	South America	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
Thailand	Asia	30 days (720 hrs)	Mutual-30-Limit-180, Regional-30	Endless	2025-5-24
Tonga	Oceania	30 days (720 hrs)	Mutual-30	Endless	2025-5-24
United Arab Emirates	Asia	30 days (720 hrs)	Mutual-30-Valid, Regional-30, Transit-10	Endless	2025-5-24
Uzbekistan	Asia	30 days (720 hrs)	Mutual-30-Limit-180	Endless	2025-5-24
Andorra	Europe	30 days (720 hrs)	Unilateral-30-2025-12	2025-12-31	2025-5-24
Argentina	South America	30 days (720 hrs)	Unilateral-30-2026-05, Regional-30, Transit-10	2026-05-31	2025-5-24
Australia	Oceania	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Austria	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Belgium	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Brazil	South America	30 days (720 hrs)	Unilateral-30-2026-05, Regional-30, Transit-10	2026-05-31	2025-5-24
Brunei	Asia	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Bulgaria	Europe	30 days (720 hrs)	Unilateral-30-2025-12, Regional-30, Transit-10	2025-12-31	2025-5-24
Chile	South America	30 days (720 hrs)	Unilateral-30-2026-05, Regional-30, Transit-10	2026-05-31	2025-5-24
